record_id,timestamp,source,is_phishing,url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,has_ip,is_https,has_port,num_params,is_ai_endpoint,prompt_tokens,completion_tokens,latency_ms,owasp_category,atlas_tactic,annotated_label,owasp_final,atlas_final,reviewer,rationale
urlhaus_20250901T000000,2025-09-01 00:00:00.000000000,urlhaus,1,43,19,9,1,2,0,3,0,1,0,1,True,,,,LLM05,TA0031,,,,,
benign_20250901T000000,2025-09-01 00:00:00.000000000,benign,0,34,18,10,3,1,0,4,0,0,0,0,True,596.0,33.0,140.0,BENIGN,,,,,,
openphish_20250901T000000,2025-09-01 00:00:00.000000000,openphish,1,53,26,20,1,2,0,5,0,0,0,0,False,0.0,0.0,0.0,LLM06,TA0027,,,,,
phishtank_20250901T000000,2025-09-01 00:00:00.000000000,phishtank,1,42,21,13,1,1,0,4,0,1,0,0,True,0.0,0.0,0.0,LLM05,TA0031,,,,,
gpt4_pilot_20250901T000000,2025-09-01 00:00:00.000000000,gpt4_pilot,0,35,17,10,2,0,0,4,0,1,0,0,True,565.0,585.0,228.0,BENIGN,,,,,,
jailbreakbench_20250901T000000,2025-09-01 00:00:00.000000000,jailbreakbench,1,44,18,11,1,1,0,3,0,1,0,1,True,,,,LLM04,TA0031,,,,,
phishtank_20250901T000000,2025-09-01 00:00:00.000000000,phishtank,1,46,22,10,1,1,0,4,0,0,0,1,True,,,,LLM01,TA0031,,,,,
advisor_catalog_20250901T000000,2025-09-01 00:00:00.000000000,advisor_catalog,1,44,19,10,1,1,0,4,0,1,0,1,True,,,,LLM06,TA0027,,,,,
urlhaus_20250901T000000,2025-09-01 00:00:00.000000000,urlhaus,1,50,25,17,1,2,0,4,0,1,0,0,False,0.0,0.0,0.0,LLM05,TA0031,,,,,
gpt4_pilot_20250901T001000,2025-09-01 00:10:00.000000000,gpt4_pilot,0,35,13,14,2,0,0,4,0,1,0,0,True,319.0,3632.0,151.0,BENIGN,,,,,,
gpt4_pilot_20250901T002000,2025-09-01 00:20:00.000000000,gpt4_pilot,1,49,21,20,1,1,0,5,0,1,0,0,False,4696.0,3177.0,110.0,LLM06,TA0031,,,,,
gpt4_pilot_20250901T003000,2025-09-01 00:30:00.000000000,gpt4_pilot,0,32,14,10,2,0,0,4,0,1,0,0,True,1410.0,3482.0,54.0,BENIGN,,,,,,
gpt4_pilot_20250901T004000,2025-09-01 00:40:00.000000000,gpt4_pilot,0,32,14,10,2,0,0,3,0,1,0,0,True,224.0,219.0,46.0,BENIGN,,,,,,
gpt4_pilot_20250901T005000,2025-09-01 00:50:00.000000000,gpt4_pilot,1,39,21,10,1,1,0,4,0,1,0,0,True,5059.0,4145.0,133.0,LLM06,TA0027,,,,,
gpt4_pilot_20250901T010000,2025-09-01 01:00:00.000000000,gpt4_pilot,1,39,21,10,1,1,0,3,0,1,0,0,True,6498.0,280.0,293.0,LLM01,TA0031,,,,,
urlhaus_20250901T010000,2025-09-01 01:00:00.000000000,urlhaus,1,32,16,9,1,1,0,3,0,0,0,0,False,0.0,0.0,0.0,LLM05,TA0042,,,,,
gpt4_pilot_20250901T011000,2025-09-01 01:10:00.000000000,gpt4_pilot,1,35,19,8,1,1,0,3,0,1,0,0,False,1074.0,3008.0,391.0,LLM09,TA0031,,,,,
gpt4_pilot_20250901T012000,2025-09-01 01:20:00.000000000,gpt4_pilot,1,35,19,8,1,1,0,3,0,1,0,0,False,576.0,2451.0,218.0,LLM05,TA0031,,,,,
gpt4_pilot_20250901T013000,2025-09-01 01:30:00.000000000,gpt4_pilot,0,41,23,10,2,0,0,3,0,1,0,0,True,701.0,4090.0,58.0,BENIGN,,,,,,
gpt4_pilot_20250901T014000,2025-09-01 01:40:00.000000000,gpt4_pilot,1,37,19,10,1,1,0,4,0,1,0,0,True,3476.0,2416.0,91.0,LLM09,TA0042,,,,,
benign_20250901T014400,2025-09-01 01:44:00.411865864,benign,0,38,16,15,2,0,0,4,0,0,0,0,True,266.0,252.0,123.0,BENIGN,,,,,,
gpt4_pilot_20250901T015000,2025-09-01 01:50:00.000000000,gpt4_pilot,1,39,21,10,1,1,0,4,0,1,0,0,True,2628.0,2851.0,231.0,LLM01,TA0042,,,,,
gpt4_pilot_20250901T020000,2025-09-01 02:00:00.000000000,gpt4_pilot,0,35,13,14,2,0,0,4,0,1,0,0,True,1218.0,323.0,172.0,BENIGN,,,,,,
phishtank_20250901T020000,2025-09-01 02:00:00.000000000,phishtank,1,47,27,13,1,2,0,4,0,0,0,0,True,0.0,0.0,0.0,LLM04,TA0027,,,,,
urlhaus_20250901T020000,2025-09-01 02:00:00.000000000,urlhaus,1,39,18,14,1,1,0,5,0,0,0,0,True,0.0,0.0,0.0,LLM06,TA0027,,,,,
gpt4_pilot_20250901T021000,2025-09-01 02:10:00.000000000,gpt4_pilot,1,50,28,14,2,1,0,4,0,1,0,0,True,2416.0,4091.0,304.0,LLM01,TA0042,,,,,
gpt4_pilot_20250901T022000,2025-09-01 02:20:00.000000000,gpt4_pilot,1,39,21,10,1,1,0,4,0,1,0,0,True,3390.0,3454.0,320.0,LLM06,TA0042,,,,,
gpt4_pilot_20250901T023000,2025-09-01 02:30:00.000000000,gpt4_pilot,0,31,13,10,2,0,0,4,0,1,0,0,True,938.0,2990.0,155.0,BENIGN,,,,,,
gpt4_pilot_20250901T024000,2025-09-01 02:40:00.000000000,gpt4_pilot,0,42,20,14,3,0,0,4,0,1,0,0,True,2060.0,623.0,94.0,BENIGN,,,,,,
gpt4_pilot_20250901T025000,2025-09-01 02:50:00.000000000,gpt4_pilot,1,53,25,20,1,3,0,5,0,1,0,0,False,6599.0,1834.0,317.0,LLM04,TA0027,,,,,
gpt4_pilot_20250901T030000,2025-09-01 03:00:00.000000000,gpt4_pilot,0,41,13,20,2,0,0,5,0,1,0,0,False,1891.0,119.0,184.0,BENIGN,,,,,,
openphish_20250901T030000,2025-09-01 03:00:00.000000000,openphish,1,54,26,20,1,2,0,5,0,1,0,0,False,0.0,0.0,0.0,LLM01,TA0042,,,,,
urlhaus_20250901T030000,2025-09-01 03:00:00.000000000,urlhaus,1,38,17,14,1,1,0,5,0,0,0,0,True,0.0,0.0,0.0,LLM04,TA0031,,,,,
gpt4_pilot_20250901T031000,2025-09-01 03:10:00.000000000,gpt4_pilot,0,43,20,15,3,0,0,4,0,1,0,0,False,1513.0,2934.0,95.0,BENIGN,,,,,,
gpt4_pilot_20250901T032000,2025-09-01 03:20:00.000000000,gpt4_pilot,0,43,20,15,3,0,0,4,0,1,0,0,False,337.0,1826.0,169.0,BENIGN,,,,,,
benign_20250901T032800,2025-09-01 03:28:00.823731728,benign,0,40,18,14,3,0,0,4,1,1,0,1,False,408.0,134.0,206.0,BENIGN,,,,,,
gpt4_pilot_20250901T033000,2025-09-01 03:30:00.000000000,gpt4_pilot,0,41,23,10,2,0,0,3,0,1,0,0,True,183.0,3926.0,121.0,BENIGN,,,,,,
gpt4_pilot_20250901T034000,2025-09-01 03:40:00.000000000,gpt4_pilot,0,36,14,14,2,0,0,4,0,1,0,0,True,699.0,3100.0,157.0,BENIGN,,,,,,
gpt4_pilot_20250901T035000,2025-09-01 03:50:00.000000000,gpt4_pilot,0,41,23,10,2,0,0,3,0,1,0,0,True,976.0,3808.0,110.0,BENIGN,,,,,,
gpt4_pilot_20250901T040000,2025-09-01 04:00:00.000000000,gpt4_pilot,0,30,14,8,2,0,0,3,0,1,0,0,False,780.0,354.0,60.0,BENIGN,,,,,,
urlhaus_20250901T040000,2025-09-01 04:00:00.000000000,urlhaus,1,29,16,6,1,1,0,3,0,0,0,0,False,0.0,0.0,0.0,LLM09,TA0031,,,,,
phishtank_20250901T040000,2025-09-01 04:00:00.000000000,phishtank,1,52,31,14,2,2,0,5,0,0,0,0,True,0.0,0.0,0.0,LLM04,TA0027,,,,,
gpt4_pilot_20250901T041000,2025-09-01 04:10:00.000000000,gpt4_pilot,1,44,21,15,1,1,0,4,0,1,0,0,False,6780.0,3136.0,449.0,LLM04,TA0042,,,,,
gpt4_pilot_20250901T042000,2025-09-01 04:20:00.000000000,gpt4_pilot,0,45,17,20,2,0,0,5,0,1,0,0,False,1868.0,71.0,119.0,BENIGN,,,,,,
gpt4_pilot_20250901T043000,2025-09-01 04:30:00.000000000,gpt4_pilot,1,41,19,14,1,1,0,4,0,1,0,0,True,1027.0,3755.0,264.0,LLM06,TA0031,,,,,
gpt4_pilot_20250901T044000,2025-09-01 04:40:00.000000000,gpt4_pilot,0,45,17,20,2,0,0,5,0,1,0,0,False,653.0,476.0,146.0,BENIGN,,,,,,
gpt4_pilot_20250901T045000,2025-09-01 04:50:00.000000000,gpt4_pilot,1,42,19,15,1,1,0,4,0,1,0,0,False,303.0,120.0,84.0,LLM06,TA0027,,,,,
gpt4_pilot_20250901T050000,2025-09-01 05:00:00.000000000,gpt4_pilot,1,53,25,20,1,3,0,5,0,1,0,0,False,217.0,3453.0,158.0,LLM06,TA0042,,,,,
urlhaus_20250901T050000,2025-09-01 05:00:00.000000000,urlhaus,1,48,26,15,1,2,0,4,0,0,0,0,False,0.0,0.0,0.0,LLM06,TA0031,,,,,
gpt4_pilot_20250901T051000,2025-09-01 05:10:00.000000000,gpt4_pilot,0,38,20,10,3,0,0,4,0,1,0,0,True,839.0,146.0,88.0,BENIGN,,,,,,
benign_20250901T051201,2025-09-01 05:12:01.235597592,benign,0,36,16,15,2,0,0,4,0,1,0,0,True,167.0,308.0,95.0,BENIGN,,,,,,
gpt4_pilot_20250901T052000,2025-09-01 05:20:00.000000000,gpt4_pilot,0,40,17,15,2,0,0,4,0,1,0,0,False,1092.0,2768.0,60.0,BENIGN,,,,,,
gpt4_pilot_20250901T053000,2025-09-01 05:30:00.000000000,gpt4_pilot,1,37,19,10,1,1,0,4,0,1,0,0,True,5032.0,3976.0,176.0,LLM09,TA0042,,,,,
gpt4_pilot_20250901T054000,2025-09-01 05:40:00.000000000,gpt4_pilot,0,40,17,15,2,0,0,4,0,1,0,0,False,208.0,2536.0,153.0,BENIGN,,,,,,
gpt4_pilot_20250901T055000,2025-09-01 05:50:00.000000000,gpt4_pilot,0,38,20,10,3,0,0,4,0,1,0,0,True,717.0,212.0,90.0,BENIGN,,,,,,
gpt4_pilot_20250901T060000,2025-09-01 06:00:00.000000000,gpt4_pilot,0,48,20,20,3,0,0,5,0,1,0,0,False,1443.0,2695.0,83.0,BENIGN,,,,,,
gpt4_pilot_20250901T061000,2025-09-01 06:10:00.000000000,gpt4_pilot,0,51,23,20,2,0,0,5,0,1,0,0,False,342.0,1865.0,148.0,BENIGN,,,,,,
